#parameter variation file for learning
#varied parameters:
#case = 1
#computationIndex = 0
#functionData = {'nArms': 3, 'evaluationSteps': 10000, 'episodeSteps': 1639, 'episodeStepsMax': 2048, 'totalLearningSteps': 5000000, 'logLevel': 3, 'lossThreshold': 0.01, 'rewardThreshold': 0.95, 'meanSampleSize': 10, 'RLalgorithm': 'PPO', 'rewardMode': 9, 'rewardPositionFactor': 0.8, 'stepUpdateTime': 0.02, 'thresholdFactor': 2.25, 'cartForce': 60, 'numberOfTests': 100, 'relativeFriction': 0.0, 'storeBestModel': 'models/TP_PPO_r9_n64_v2_Model', 'netarchLayerSize': 64, 'netarchNumberOfLayers': 2, 'stopWhenAllTestsSuccess': False, 'breakTestsWhenFailed': False, 'nThreadsTraining': 1, 'resultsFile': 'models/TP_PPO_r9_n64_v2_Results', 'verbose': True}
#
'totalSteps': 38912, 'rewardStep': 0.8730569441564958, 'errorList': [], 'lossList': [0.0, -0.7702281599864363, 0.0, 6.9614955060184, 0.0, 0.0, 0.0], 'rewardMean': 0.698392252649787, 'totalEpisodes': 1367, 'stepsPerEpisode': 6, 'rewardPerEpisode': 5.254708159414002
'totalSteps': 40960, 'rewardStep': 0.8042690250167851, 'errorList': [], 'lossList': [0.0, -0.7538263116031885, 0.0, 7.902434425801038, 0.0, 0.0, 0.0], 'rewardMean': 0.7673040014490233, 'totalEpisodes': 1398, 'stepsPerEpisode': 49, 'rewardPerEpisode': 42.709764987441204
'totalSteps': 43008, 'rewardStep': 0.43116526013003387, 'errorList': [], 'lossList': [0.0, -0.7336730996146799, 0.0, 6.188307379186154, 0.0, 0.0, 0.0], 'rewardMean': 0.7548116236011683, 'totalEpisodes': 1426, 'stepsPerEpisode': 68, 'rewardPerEpisode': 45.21778512764764
'totalSteps': 45056, 'rewardStep': 0.8828742618474497, 'errorList': [], 'lossList': [0.0, -0.7126449108123779, 0.0, 4.7962144881486894, 0.0, 0.0, 0.0], 'rewardMean': 0.7688847863822557, 'totalEpisodes': 1453, 'stepsPerEpisode': 3, 'rewardPerEpisode': 2.6412993863555294
'totalSteps': 47104, 'rewardStep': 0.541129823856962, 'errorList': [], 'lossList': [0.0, -0.7065087994560599, 0.0, 3.4607135124504564, 0.0, 0.0, 0.0], 'rewardMean': 0.7631272445250974, 'totalEpisodes': 1480, 'stepsPerEpisode': 115, 'rewardPerEpisode': 83.94690750340415
'totalSteps': 49152, 'rewardStep': 0.8271154195720938, 'errorList': [], 'lossList': [0.0, -0.6955362124368548, 0.0, 6.249684711545706, 0.0, 0.0, 0.0], 'rewardMean': 0.7728158105684035, 'totalEpisodes': 1505, 'stepsPerEpisode': 22, 'rewardPerEpisode': 17.968300440120842
'totalSteps': 51200, 'rewardStep': 0.6526654844612054, 'errorList': [], 'lossList': [0.0, -0.6835951326414943, 0.0, 5.272227607667446, 0.0, 0.0, 0.0], 'rewardMean': 0.7567635654482248, 'totalEpisodes': 1527, 'stepsPerEpisode': 54, 'rewardPerEpisode': 41.44605992715089
'totalSteps': 53248, 'rewardStep': 0.7035412871107656, 'errorList': [], 'lossList': [0.0, -0.6674101090058684, 0.0, 5.182976907864213, 0.0, 0.0, 0.0], 'rewardMean': 0.7376525495451396, 'totalEpisodes': 1549, 'stepsPerEpisode': 51, 'rewardPerEpisode': 38.1737075287272
'totalSteps': 55296, 'rewardStep': 0.7144617578416728, 'errorList': [], 'lossList': [0.0, -0.6425717322155833, 0.0, 5.406862156093121, 0.0, 0.0, 0.0], 'rewardMean': 0.7225874425661566, 'totalEpisodes': 1569, 'stepsPerEpisode': 41, 'rewardPerEpisode': 30.50313180946804
'totalSteps': 57344, 'rewardStep': 0.9552478022127596, 'errorList': [4448911.236429595, 1549669.9001614929, 241188.6689682089, 2229875.215043306, 9473.298591683704, 872852.2903371716, 1748994.8363216924, 466133.80997658055, 360936.56742126617, 1172324.872916554, 109875.41364551091, 98162.2040540122, 95704.50229019554, 913892.6777955747, 167283.7484165471, 1453819.2289141247, 643381.1262797277, 6087685.044551616, 692743.0395597982, 498232.26267475233, 147423.98162133852, 2308777.2766805887, 1046046.3950392036, 534013.429677899, 41364119.02073065, 3752170.725439467, 183453.09050009775, 7842137.829670459, 290723.36713785754, 209600.77866240314, 411593.2702635191, 338726.519913929, 315485.01745879214, 2793.5273245846506, 896164.941673983, 977704.480368852, 1081622.6308762562, 792388.4882861562, 876374.9359226672, 463347.2172926313, 7433161.049328144, 4968531.626556332, 533796.3725726556, 252909.07442384798, 1046543.1258629471, 41066.11285234355, 1036.725570723303, 386459.17505587864, 709959.6108970154, 1815901.9687970371, 199057.94787757643, 2989216.0410841457, 671929.9040405877, 751303.7613300253, 15117.935445311687, 1416553.5522816044, 1143794.1949116606, 822742.2752700682, 124758.92746158919, 6320801.944052989, 2223764.4347456624, 595220.2204350132, 1108583.9815736185, 15067354.826769095, 582291.2309412545, 798922.5170191273, 1565406.7648541164, 71654.43577789991, 1205152.6410288026, 1533473.424769686, 2254037.102841269, 4242320.821853122, 645915.3341025292, 118613.14630782606, 313925.7893713959, 580705.6158081186, 3834629.184550961, 1357164.8911449935, 228519.44655257202, 325349.61836945894, 53515.021100450176, 701263.172498206, 500677.78011717735, 2104901.6354243755, 1304679.5802425032, 710143.3264353629, 141.19815194929566, 61893.156610282014, 1227509.5250919021, 296825.49627192994, 10318.197268446887, 152970.25121084874, 1069309.529128717, 977883.2866540845, 3569666.0685679866, 2736631.0319673475, 1801209.4439374113, 1018371.6154353371, 1522181.472409182, 734269.9069881432], 'lossList': [0.0, -0.635058356449008, 0.0, 3.570895817130804, 0.0, 0.0, 0.0], 'rewardMean': 0.7385527066206223, 'totalEpisodes': 1587, 'stepsPerEpisode': 88, 'rewardPerEpisode': 76.58770081146872, 'successfulTests': 0
'totalSteps': 59392, 'rewardStep': 0.8660098937414543, 'errorList': [], 'lossList': [0.0, -0.6118488054722547, 0.0, 4.523871801793575, 0.0, 0.0, 0.0], 'rewardMean': 0.7378480015791181, 'totalEpisodes': 1606, 'stepsPerEpisode': 2, 'rewardPerEpisode': 1.7603171029323883
'totalSteps': 61440, 'rewardStep': 0.46065596515116924, 'errorList': [], 'lossList': [0.0, -0.5864784125238657, 0.0, 3.170491300523281, 0.0, 0.0, 0.0], 'rewardMean': 0.7034866955925565, 'totalEpisodes': 1621, 'stepsPerEpisode': 155, 'rewardPerEpisode': 129.60042675795856
'totalSteps': 63488, 'rewardStep': 0.8539989276185277, 'errorList': [], 'lossList': [0.0, -0.5751726191490889, 0.0, 4.322255128622055, 0.0, 0.0, 0.0], 'rewardMean': 0.745770062341406, 'totalEpisodes': 1635, 'stepsPerEpisode': 84, 'rewardPerEpisode': 72.25881791800548
'totalSteps': 65536, 'rewardStep': 0.7012738901372022, 'errorList': [], 'lossList': [0.0, -0.5680990608409047, 0.0, 2.9962349873036147, 0.0, 0.0, 0.0], 'rewardMean': 0.7276100251703813, 'totalEpisodes': 1650, 'stepsPerEpisode': 71, 'rewardPerEpisode': 57.41632760926671
'totalSteps': 67584, 'rewardStep': 0.3950525418054398, 'errorList': [], 'lossList': [0.0, -0.5586132686585188, 0.0, 2.8443138180300593, 0.0, 0.0, 0.0], 'rewardMean': 0.713002296965229, 'totalEpisodes': 1663, 'stepsPerEpisode': 62, 'rewardPerEpisode': 40.09094227182185
'totalSteps': 69632, 'rewardStep': 0.6808335049739607, 'errorList': [], 'lossList': [0.0, -0.5322714745998383, 0.0, 2.979560101032257, 0.0, 0.0, 0.0], 'rewardMean': 0.6983741055054157, 'totalEpisodes': 1677, 'stepsPerEpisode': 7, 'rewardPerEpisode': 4.201924899031193
'totalSteps': 71680, 'rewardStep': 0.8455316178851534, 'errorList': [], 'lossList': [0.0, -0.5204449409618974, 0.0, 3.5279937516897917, 0.0, 0.0, 0.0], 'rewardMean': 0.7176607188478106, 'totalEpisodes': 1689, 'stepsPerEpisode': 23, 'rewardPerEpisode': 19.50369164760495
'totalSteps': 73728, 'rewardStep': 0.12725772893113485, 'errorList': [], 'lossList': [0.0, -0.5041675834916532, 0.0, 2.7302070133388043, 0.0, 0.0, 0.0], 'rewardMean': 0.6600323630298475, 'totalEpisodes': 1698, 'stepsPerEpisode': 235, 'rewardPerEpisode': 167.50150167367494
'totalSteps': 75776, 'rewardStep': 0, 'errorList': [], 'lossList': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], 'rewardMean': 0.4930614070244042, 'totalEpisodes': 1711, 'stepsPerEpisode': 138, 'rewardPerEpisode': 68.08080663569122
