globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,decaySteps_0,decaySteps_1,controlValues_00,controlValues_01,controlValues_10,controlValues_11,case,computationIndex
0,50,16640,0,5000.0,1,2.0,0,0,1,0
1,50,19200,0,5000.0,1,2.0,0,0,2,1
2,45,23040,0,5000.0,1,2.0,0,0,3,2
3,50,24320,0,5000.0,1,2.0,0,0,4,3
4,9,25600,0,5000.0,1,2.0,0,0,5,4
5,4,21760,0,5000.0,1,4.0,0,0,1,5
6,42,25600,0,5000.0,1,4.0,0,0,2,6
7,44,23040,0,5000.0,1,4.0,0,0,3,7
8,50,21760,0,5000.0,1,4.0,0,0,4,8
9,50,21760,0,5000.0,1,4.0,0,0,5,9
10,50,25600,0,5000.0,1,6.0,0,0,1,10
11,50,19200,0,5000.0,1,6.0,0,0,2,11
12,50,19200,0,5000.0,1,6.0,0,0,3,12
13,50,25600,0,5000.0,1,6.0,0,0,4,13
14,50,25600,0,5000.0,1,6.0,0,0,5,14
15,50,16640,0,5000.0,1,8.0,0,0,1,15
16,50,25600,0,5000.0,1,8.0,0,0,2,16
17,42,15360,0,5000.0,1,8.0,0,0,3,17
18,44,25600,0,5000.0,1,8.0,0,0,4,18
19,50,25600,0,5000.0,1,8.0,0,0,5,19
20,50,21760,0,5000.0,1,10.0,0,0,1,20
21,50,23040,0,5000.0,1,10.0,0,0,2,21
22,50,19200,0,5000.0,1,10.0,0,0,3,22
23,40,25600,0,5000.0,1,10.0,0,0,4,23
24,50,20480,0,5000.0,1,10.0,0,0,5,24
25,50,16640,0,6000.0,1,2.0,0,0,1,25
26,50,23040,0,6000.0,1,2.0,0,0,2,26
27,2,23040,0,6000.0,1,2.0,0,0,3,27
28,50,25600,0,6000.0,1,2.0,0,0,4,28
29,50,25600,0,6000.0,1,2.0,0,0,5,29
30,50,20480,0,6000.0,1,4.0,0,0,1,30
31,50,25600,0,6000.0,1,4.0,0,0,2,31
32,23,12800,0,6000.0,1,4.0,0,0,3,32
33,50,20480,0,6000.0,1,4.0,0,0,4,33
34,50,25600,0,6000.0,1,4.0,0,0,5,34
35,50,25600,0,6000.0,1,6.0,0,0,1,35
36,44,25600,0,6000.0,1,6.0,0,0,2,36
37,33,23040,0,6000.0,1,6.0,0,0,3,37
38,50,20480,0,6000.0,1,6.0,0,0,4,38
39,50,25600,0,6000.0,1,6.0,0,0,5,39
40,0,-1,0,6000.0,1,8.0,0,0,1,40
41,39,25600,0,6000.0,1,8.0,0,0,2,41
42,50,24320,0,6000.0,1,8.0,0,0,3,42
43,50,19200,0,6000.0,1,8.0,0,0,4,43
44,50,24320,0,6000.0,1,8.0,0,0,5,44
45,46,21760,0,6000.0,1,10.0,0,0,1,45
46,0,-1,0,6000.0,1,10.0,0,0,2,46
47,48,20480,0,6000.0,1,10.0,0,0,3,47
48,50,25600,0,6000.0,1,10.0,0,0,4,48
49,50,25600,0,6000.0,1,10.0,0,0,5,49
50,2,21760,0,7000.0,1,2.0,0,0,1,50
51,44,25600,0,7000.0,1,2.0,0,0,2,51
52,50,20480,0,7000.0,1,2.0,0,0,3,52
53,50,19200,0,7000.0,1,2.0,0,0,4,53
54,46,25600,0,7000.0,1,2.0,0,0,5,54
55,6,19200,0,7000.0,1,4.0,0,0,1,55
56,41,25600,0,7000.0,1,4.0,0,0,2,56
57,0,-1,0,7000.0,1,4.0,0,0,3,57
58,50,25600,0,7000.0,1,4.0,0,0,4,58
59,50,20480,0,7000.0,1,4.0,0,0,5,59
60,50,17920,0,7000.0,1,6.0,0,0,1,60
61,50,23040,0,7000.0,1,6.0,0,0,2,61
62,48,23040,0,7000.0,1,6.0,0,0,3,62
63,50,25600,0,7000.0,1,6.0,0,0,4,63
64,49,25600,0,7000.0,1,6.0,0,0,5,64
65,50,25600,0,7000.0,1,8.0,0,0,1,65
66,49,25600,0,7000.0,1,8.0,0,0,2,66
67,50,21760,0,7000.0,1,8.0,0,0,3,67
68,50,21760,0,7000.0,1,8.0,0,0,4,68
69,50,25600,0,7000.0,1,8.0,0,0,5,69
70,50,25600,0,7000.0,1,10.0,0,0,1,70
71,50,25600,0,7000.0,1,10.0,0,0,2,71
72,50,19200,0,7000.0,1,10.0,0,0,3,72
73,50,24320,0,7000.0,1,10.0,0,0,4,73
74,50,25600,0,7000.0,1,10.0,0,0,5,74
75,0,-1,0,8000.0,1,2.0,0,0,1,75
76,50,23040,0,8000.0,1,2.0,0,0,2,76
77,42,23040,0,8000.0,1,2.0,0,0,3,77
78,46,25600,0,8000.0,1,2.0,0,0,4,78
79,50,25600,0,8000.0,1,2.0,0,0,5,79
80,0,-1,0,8000.0,1,4.0,0,0,1,80
81,50,23040,0,8000.0,1,4.0,0,0,2,81
82,50,20480,0,8000.0,1,4.0,0,0,3,82
83,50,25600,0,8000.0,1,4.0,0,0,4,83
84,50,25600,0,8000.0,1,4.0,0,0,5,84
85,0,-1,0,8000.0,1,6.0,0,0,1,85
86,47,25600,0,8000.0,1,6.0,0,0,2,86
87,50,24320,0,8000.0,1,6.0,0,0,3,87
88,50,19200,0,8000.0,1,6.0,0,0,4,88
89,50,25600,0,8000.0,1,6.0,0,0,5,89
90,8,17920,0,8000.0,1,8.0,0,0,1,90
91,50,23040,0,8000.0,1,8.0,0,0,2,91
92,0,-1,0,8000.0,1,8.0,0,0,3,92
93,50,25600,0,8000.0,1,8.0,0,0,4,93
94,50,21760,0,8000.0,1,8.0,0,0,5,94
95,50,25600,0,8000.0,1,10.0,0,0,1,95
96,50,25600,0,8000.0,1,10.0,0,0,2,96
97,0,-1,0,8000.0,1,10.0,0,0,3,97
98,50,24320,0,8000.0,1,10.0,0,0,4,98
99,50,25600,0,8000.0,1,10.0,0,0,5,99
100,50,20480,0,9000.0,1,2.0,0,0,1,100
101,50,25600,0,9000.0,1,2.0,0,0,2,101
102,50,19200,0,9000.0,1,2.0,0,0,3,102
103,50,25600,0,9000.0,1,2.0,0,0,4,103
104,15,25600,0,9000.0,1,2.0,0,0,5,104
105,50,19200,0,9000.0,1,4.0,0,0,1,105
106,50,23040,0,9000.0,1,4.0,0,0,2,106
107,50,23040,0,9000.0,1,4.0,0,0,3,107
108,50,25600,0,9000.0,1,4.0,0,0,4,108
109,39,25600,0,9000.0,1,4.0,0,0,5,109
110,0,-1,0,9000.0,1,6.0,0,0,1,110
111,49,23040,0,9000.0,1,6.0,0,0,2,111
112,0,-1,0,9000.0,1,6.0,0,0,3,112
113,50,20480,0,9000.0,1,6.0,0,0,4,113
114,50,25600,0,9000.0,1,6.0,0,0,5,114
115,50,20480,0,9000.0,1,8.0,0,0,1,115
116,47,23040,0,9000.0,1,8.0,0,0,2,116
