globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,controlValues_00,controlValues_01,controlValues_10,controlValues_11,controlValues_20,controlValues_21,decaySteps_0,decaySteps_1,decaySteps_2,case,computationIndex
6497,50,16640,3,6.0,0,2.0,0,0,0,3000.0,12000.0,3,6497
6541,50,15360,3,6.0,0,2.0,0,0,0,5000.0,6000.0,2,6541
6601,50,15360,3,6.0,0,2.0,0,0,0,7000.0,6000.0,2,6601
6660,50,16640,3,6.0,0,4.0,0,0,0,3000.0,6000.0,1,6660
6675,50,16640,3,6.0,0,4.0,0,0,0,3000.0,12000.0,1,6675
6676,50,15360,3,6.0,0,4.0,0,0,0,3000.0,12000.0,2,6676
6721,50,15360,3,6.0,0,4.0,0,0,0,5000.0,6000.0,2,6721
7042,50,15360,3,8.0,0,2.0,0,0,0,3000.0,14000.0,3,7042
7082,50,16640,3,8.0,0,2.0,0,0,0,5000.0,6000.0,3,7082
7085,50,16640,3,8.0,0,2.0,0,0,0,5000.0,8000.0,1,7085
7204,50,15360,3,8.0,0,4.0,0,0,0,3000.0,6000.0,5,7204
7205,50,16640,3,8.0,0,4.0,0,0,0,3000.0,8000.0,1,7205
7386,46,15360,3,8.0,0,6.0,0,0,0,3000.0,8000.0,2,7386
7395,50,16640,3,8.0,0,6.0,0,0,0,3000.0,12000.0,1,7395
7530,50,16640,3,8.0,0,6.0,0,0,0,8000.0,6000.0,1,7530
7560,49,16640,3,10.0,0,2.0,0,0,0,3000.0,6000.0,1,7560
7590,50,16640,3,10.0,0,2.0,0,0,0,4000.0,6000.0,1,7590
7594,50,15360,3,10.0,0,2.0,0,0,0,4000.0,6000.0,5,7594
7595,50,16640,3,10.0,0,2.0,0,0,0,4000.0,8000.0,1,7595
7605,50,16640,3,10.0,0,2.0,0,0,0,4000.0,12000.0,1,7605
7607,50,16640,3,10.0,0,2.0,0,0,0,4000.0,12000.0,3,7607
7687,50,16640,3,10.0,0,2.0,0,0,0,7000.0,8000.0,3,7687
7728,50,16640,3,10.0,0,2.0,0,0,0,8000.0,12000.0,4,7728
7750,50,16640,3,10.0,0,4.0,0,0,0,3000.0,10000.0,1,7750
7762,50,16640,3,10.0,0,4.0,0,0,0,3000.0,14000.0,3,7762
7764,50,15360,3,10.0,0,4.0,0,0,0,3000.0,14000.0,5,7764
7809,50,15360,3,10.0,0,4.0,0,0,0,5000.0,8000.0,5,7809
7815,50,16640,3,10.0,0,4.0,0,0,0,5000.0,12000.0,1,7815
7925,50,16640,3,10.0,0,6.0,0,0,0,3000.0,8000.0,1,7925
7927,50,16640,3,10.0,0,6.0,0,0,0,3000.0,8000.0,3,7927
7975,50,16640,3,10.0,0,6.0,0,0,0,4000.0,16000.0,1,7975
8170,50,16640,4,2.0,0,2.0,0,0,0,5000.0,10000.0,1,8170
8200,50,16640,4,2.0,0,2.0,0,0,0,6000.0,10000.0,1,8200
8225,50,16640,4,2.0,0,2.0,0,0,0,7000.0,8000.0,1,8225
8230,50,16640,4,2.0,0,2.0,0,0,0,7000.0,10000.0,1,8230
8404,50,15360,4,2.0,0,4.0,0,0,0,7000.0,6000.0,5,8404
8467,50,15360,4,2.0,0,6.0,0,0,0,3000.0,8000.0,3,8467
8482,50,16640,4,2.0,0,6.0,0,0,0,3000.0,14000.0,3,8482
8655,50,16640,4,4.0,0,2.0,0,0,0,3000.0,12000.0,1,8655
8661,50,15360,4,4.0,0,2.0,0,0,0,3000.0,14000.0,2,8661
8772,50,15360,4,4.0,0,2.0,0,0,0,7000.0,10000.0,3,8772
8792,50,15360,4,4.0,0,2.0,0,0,0,8000.0,6000.0,3,8792
8835,50,16640,4,4.0,0,4.0,0,0,0,3000.0,12000.0,1,8835
8841,50,15360,4,4.0,0,4.0,0,0,0,3000.0,14000.0,2,8841
8842,50,15360,4,4.0,0,4.0,0,0,0,3000.0,14000.0,3,8842
8902,50,16640,4,4.0,0,4.0,0,0,0,5000.0,14000.0,3,8902
9195,50,16640,4,6.0,0,2.0,0,0,0,3000.0,12000.0,1,9195
9235,50,16640,4,6.0,0,2.0,0,0,0,4000.0,16000.0,1,9235
9242,50,16640,4,6.0,0,2.0,0,0,0,5000.0,6000.0,3,9242
9271,50,15360,4,6.0,0,2.0,0,0,0,6000.0,6000.0,2,9271
9360,50,16640,4,6.0,0,4.0,0,0,0,3000.0,6000.0,1,9360
9372,50,15360,4,6.0,0,4.0,0,0,0,3000.0,10000.0,3,9372
9377,50,16640,4,6.0,0,4.0,0,0,0,3000.0,12000.0,3,9377
9766,50,15360,4,8.0,0,2.0,0,0,0,4000.0,12000.0,2,9766
9780,50,16640,4,8.0,0,2.0,0,0,0,5000.0,6000.0,1,9780
9785,50,16640,4,8.0,0,2.0,0,0,0,5000.0,8000.0,1,9785
9787,50,16640,4,8.0,0,2.0,0,0,0,5000.0,8000.0,3,9787
9812,50,16640,4,8.0,0,2.0,0,0,0,6000.0,6000.0,3,9812
9815,50,16640,4,8.0,0,2.0,0,0,0,6000.0,8000.0,1,9815
9842,50,15360,4,8.0,0,2.0,0,0,0,7000.0,6000.0,3,9842
9871,50,15360,4,8.0,0,2.0,0,0,0,8000.0,6000.0,2,9871
9911,50,15360,4,8.0,0,4.0,0,0,0,3000.0,10000.0,2,9911
9916,50,15360,4,8.0,0,4.0,0,0,0,3000.0,12000.0,2,9916
9922,50,16640,4,8.0,0,4.0,0,0,0,3000.0,14000.0,3,9922
9977,50,15360,4,8.0,0,4.0,0,0,0,5000.0,12000.0,3,9977
10087,50,16640,4,8.0,0,6.0,0,0,0,3000.0,8000.0,3,10087
10188,50,16640,4,8.0,0,6.0,0,0,0,6000.0,12000.0,4,10188
10276,50,15360,4,10.0,0,2.0,0,0,0,3000.0,12000.0,2,10276
10307,50,16640,4,10.0,0,2.0,0,0,0,4000.0,12000.0,3,10307
10325,50,16640,4,10.0,0,2.0,0,0,0,5000.0,8000.0,1,10325
10380,50,16640,4,10.0,0,2.0,0,0,0,7000.0,6000.0,1,10380
10385,50,16640,4,10.0,0,2.0,0,0,0,7000.0,8000.0,1,10385
10410,50,16640,4,10.0,0,2.0,0,0,0,8000.0,6000.0,1,10410
10472,50,16640,4,10.0,0,4.0,0,0,0,4000.0,6000.0,3,10472
10510,50,16640,4,10.0,0,4.0,0,0,0,5000.0,10000.0,1,10510
10534,50,15360,4,10.0,0,4.0,0,0,0,6000.0,6000.0,5,10534
10805,50,16640,5,2.0,0,2.0,0,0,0,3000.0,8000.0,1,10805
11027,50,16640,5,2.0,0,4.0,0,0,0,4000.0,12000.0,3,11027
11442,50,16640,5,4.0,0,2.0,0,0,0,6000.0,10000.0,3,11442
11570,50,16640,5,4.0,0,4.0,0,0,0,4000.0,14000.0,1,11570
11641,50,15360,5,4.0,0,4.0,0,0,0,7000.0,6000.0,2,11641
11725,50,16640,5,4.0,0,6.0,0,0,0,3000.0,16000.0,1,11725
11818,50,16640,5,4.0,0,6.0,0,0,0,6000.0,16000.0,4,11818
11895,50,16640,5,6.0,0,2.0,0,0,0,3000.0,12000.0,1,11895
11925,50,16640,5,6.0,0,2.0,0,0,0,4000.0,12000.0,1,11925
11935,50,16640,5,6.0,0,2.0,0,0,0,4000.0,16000.0,1,11935
11950,50,16640,5,6.0,0,2.0,0,0,0,5000.0,10000.0,1,11950
11960,50,16640,5,6.0,0,2.0,0,0,0,5000.0,14000.0,1,11960
11967,50,16640,5,6.0,0,2.0,0,0,0,5000.0,16000.0,3,11967
11982,50,16640,5,6.0,0,2.0,0,0,0,6000.0,10000.0,3,11982
12017,50,16640,5,6.0,0,2.0,0,0,0,7000.0,12000.0,3,12017
12067,50,15360,5,6.0,0,4.0,0,0,0,3000.0,8000.0,3,12067
12070,50,16640,5,6.0,0,4.0,0,0,0,3000.0,10000.0,1,12070
12082,50,16640,5,6.0,0,4.0,0,0,0,3000.0,14000.0,3,12082
12474,50,15360,5,8.0,0,2.0,0,0,0,4000.0,14000.0,5,12474
12482,50,15360,5,8.0,0,2.0,0,0,0,5000.0,6000.0,3,12482
12567,50,16640,5,8.0,0,2.0,0,0,0,7000.0,16000.0,3,12567
12570,50,16640,5,8.0,0,2.0,0,0,0,8000.0,6000.0,1,12570
12616,50,15360,5,8.0,0,4.0,0,0,0,3000.0,12000.0,2,12616
12796,50,15360,5,8.0,0,6.0,0,0,0,3000.0,12000.0,2,12796
12964,50,15360,5,10.0,0,2.0,0,0,0,3000.0,6000.0,5,12964
13020,50,16640,5,10.0,0,2.0,0,0,0,5000.0,6000.0,1,13020
13035,50,16640,5,10.0,0,2.0,0,0,0,5000.0,12000.0,1,13035
13037,50,16640,5,10.0,0,2.0,0,0,0,5000.0,12000.0,3,13037
13039,50,15360,5,10.0,0,2.0,0,0,0,5000.0,12000.0,5,13039
