globalIndex,MaxSuccessfulTests,MaxSuccessfulTestsTimesteps,controlValues_00,controlValues_01,controlValues_10,controlValues_11,controlValues_20,controlValues_21,decaySteps_0,decaySteps_1,decaySteps_2,case,computationIndex
9,50,15360,1,2.0,0,2.0,0,0,0,3000.0,8000.0,5,9
34,50,15360,1,2.0,0,2.0,0,0,0,4000.0,6000.0,5,34
42,50,16640,1,2.0,0,2.0,0,0,0,4000.0,10000.0,3,42
83,50,16640,1,2.0,0,2.0,0,0,0,5000.0,14000.0,4,83
150,50,16640,1,2.0,0,2.0,0,0,0,8000.0,6000.0,1,150
151,50,15360,1,2.0,0,2.0,0,0,0,8000.0,6000.0,2,151
205,50,16640,1,2.0,0,4.0,0,0,0,3000.0,16000.0,1,205
225,50,16640,1,2.0,0,4.0,0,0,0,4000.0,12000.0,1,225
264,50,15360,1,2.0,0,4.0,0,0,0,5000.0,14000.0,5,264
283,50,16640,1,2.0,0,4.0,0,0,0,6000.0,10000.0,4,283
602,50,16640,1,4.0,0,2.0,0,0,0,5000.0,6000.0,3,602
637,50,15360,1,4.0,0,2.0,0,0,0,6000.0,8000.0,3,637
641,50,15360,1,4.0,0,2.0,0,0,0,6000.0,10000.0,2,641
772,50,15360,1,4.0,0,4.0,0,0,0,4000.0,14000.0,3,772
1172,50,16640,1,6.0,0,2.0,0,0,0,6000.0,6000.0,3,1172
1234,50,15360,1,6.0,0,2.0,0,0,0,8000.0,6000.0,5,1234
1262,50,16640,1,6.0,0,4.0,0,0,0,3000.0,6000.0,3,1262
1327,50,16640,1,6.0,0,4.0,0,0,0,5000.0,8000.0,3,1327
1652,50,16640,1,8.0,0,2.0,0,0,0,4000.0,6000.0,3,1652
1665,50,16640,1,8.0,0,2.0,0,0,0,4000.0,12000.0,1,1665
1694,50,15360,1,8.0,0,2.0,0,0,0,5000.0,10000.0,5,1694
1720,50,16640,1,8.0,0,2.0,0,0,0,6000.0,10000.0,1,1720
1807,50,16640,1,8.0,0,4.0,0,0,0,3000.0,8000.0,3,1807
1842,50,16640,1,8.0,0,4.0,0,0,0,4000.0,10000.0,3,1842
2160,50,16640,1,10.0,0,2.0,0,0,0,3000.0,6000.0,1,2160
2176,50,15360,1,10.0,0,2.0,0,0,0,3000.0,12000.0,2,2176
2180,50,16640,1,10.0,0,2.0,0,0,0,3000.0,14000.0,1,2180
2196,50,15360,1,10.0,0,2.0,0,0,0,4000.0,8000.0,2,2196
2210,50,16640,1,10.0,0,2.0,0,0,0,4000.0,14000.0,1,2210
2211,50,15360,1,10.0,0,2.0,0,0,0,4000.0,14000.0,2,2211
2323,50,16640,1,10.0,0,2.0,0,0,0,8000.0,10000.0,4,2323
2529,50,15360,1,10.0,0,6.0,0,0,0,3000.0,8000.0,5,2529
2595,50,16640,1,10.0,0,6.0,0,0,0,5000.0,12000.0,1,2595
2736,50,15360,2,2.0,0,2.0,0,0,0,4000.0,8000.0,2,2736
2740,50,16640,2,2.0,0,2.0,0,0,0,4000.0,10000.0,1,2740
2792,50,15360,2,2.0,0,2.0,0,0,0,6000.0,6000.0,3,2792
2880,50,16640,2,2.0,0,4.0,0,0,0,3000.0,6000.0,1,2880
2901,50,15360,2,2.0,0,4.0,0,0,0,3000.0,14000.0,2,2901
2902,50,16640,2,2.0,0,4.0,0,0,0,3000.0,14000.0,3,2902
2916,50,15360,2,2.0,0,4.0,0,0,0,4000.0,8000.0,2,2916
3048,50,16640,2,2.0,0,4.0,0,0,0,8000.0,12000.0,4,3048
3067,50,16640,2,2.0,0,6.0,0,0,0,3000.0,8000.0,3,3067
3077,50,15360,2,2.0,0,6.0,0,0,0,3000.0,12000.0,3,3077
3279,50,15360,2,4.0,0,2.0,0,0,0,4000.0,8000.0,5,3279
3291,50,15360,2,4.0,0,2.0,0,0,0,4000.0,14000.0,2,3291
3432,50,15360,2,4.0,0,4.0,0,0,0,3000.0,10000.0,3,3432
3601,50,15360,2,4.0,0,6.0,0,0,0,3000.0,6000.0,2,3601
3826,50,15360,2,6.0,0,2.0,0,0,0,4000.0,12000.0,2,3826
3847,50,16640,2,6.0,0,2.0,0,0,0,5000.0,8000.0,3,3847
3931,50,15360,2,6.0,0,2.0,0,0,0,8000.0,6000.0,2,3931
3987,50,16640,2,6.0,0,4.0,0,0,0,3000.0,16000.0,3,3987
4062,50,16640,2,6.0,0,4.0,0,0,0,6000.0,10000.0,3,4062
4114,50,15360,2,6.0,0,4.0,0,0,0,8000.0,6000.0,5,4114
4157,50,16640,2,6.0,0,6.0,0,0,0,3000.0,12000.0,3,4157
4204,50,15360,2,6.0,0,6.0,0,0,0,5000.0,6000.0,5,4204
4331,50,15360,2,8.0,0,2.0,0,0,0,3000.0,10000.0,2,4331
4362,50,16640,2,8.0,0,2.0,0,0,0,4000.0,10000.0,3,4362
4365,50,16640,2,8.0,0,2.0,0,0,0,4000.0,12000.0,1,4365
4381,50,15360,2,8.0,0,2.0,0,0,0,5000.0,6000.0,2,4381
4390,50,16640,2,8.0,0,2.0,0,0,0,5000.0,10000.0,1,4390
4392,50,16640,2,8.0,0,2.0,0,0,0,5000.0,10000.0,3,4392
4441,50,15360,2,8.0,0,2.0,0,0,0,7000.0,6000.0,2,4441
4502,50,16640,2,8.0,0,4.0,0,0,0,3000.0,6000.0,3,4502
4512,50,16640,2,8.0,0,4.0,0,0,0,3000.0,10000.0,3,4512
4515,50,16640,2,8.0,0,4.0,0,0,0,3000.0,12000.0,1,4515
4550,50,16640,2,8.0,0,4.0,0,0,0,4000.0,14000.0,1,4550
4740,50,16640,2,8.0,0,6.0,0,0,0,5000.0,6000.0,1,4740
4760,50,16640,2,8.0,0,6.0,0,0,0,5000.0,14000.0,1,4760
4906,50,15360,2,10.0,0,2.0,0,0,0,4000.0,12000.0,2,4906
4911,50,15360,2,10.0,0,2.0,0,0,0,4000.0,14000.0,2,4911
4948,50,16640,2,10.0,0,2.0,0,0,0,5000.0,16000.0,4,4948
4963,50,16640,2,10.0,0,2.0,0,0,0,6000.0,10000.0,4,4963
5072,50,15360,2,10.0,0,4.0,0,0,0,4000.0,6000.0,3,5072
5770,50,16640,3,2.0,0,6.0,0,0,0,3000.0,10000.0,1,5770
5775,50,16640,3,2.0,0,6.0,0,0,0,3000.0,12000.0,1,5775
5950,50,16640,3,4.0,0,2.0,0,0,0,3000.0,10000.0,1,5950
5974,50,15360,3,4.0,0,2.0,0,0,0,4000.0,6000.0,5,5974
6005,50,16640,3,4.0,0,2.0,0,0,0,5000.0,8000.0,1,6005
6064,50,15360,3,4.0,0,2.0,0,0,0,7000.0,6000.0,5,6064
6125,50,16640,3,4.0,0,4.0,0,0,0,3000.0,8000.0,1,6125
6134,50,15360,3,4.0,0,4.0,0,0,0,3000.0,10000.0,5,6134
6177,50,16640,3,4.0,0,4.0,0,0,0,4000.0,16000.0,3,6177
6199,50,15360,3,4.0,0,4.0,0,0,0,5000.0,12000.0,5,6199
6486,50,15360,3,6.0,0,2.0,0,0,0,3000.0,8000.0,2,6486
