#EXUDYN parameter variation results file:plots/SinglePendulum_A2C_r2_v1Results0.txt
#results stored columnwise for every parameter and individual
#Exudyn version = 1.6.103.dev1; Python3.9.15; Windows AVX2 FLOAT64; Windows10 V10.0.19044; AMD64; Intel64 Family 6 Model 151 Stepping 5, GenuineIntel(processing=multiprocessing.Pool, numberOfThreads=12)
#
#columns:
#globalIndex,value,computationIndex
#parameter ranges [format: (begin, end, numberOfVariations) or list, parameters separated with ";"]:
#
0, (0, 0.11947391108111921, [0.11947391108111921, -2.180438957608265]), -1.5, -6.0, 0
1, (0, 0.11927134963602617, [0.11927134963602617, -2.1992212950485728]), -1.5, -5.878787878787879, 1
2, (0, 0.11888640589657769, [0.11888640589657769, -2.181942977632958]), -1.5, -5.757575757575758, 2
3, (0, 0.11864883436586682, [0.11864883436586682, -2.1681490062126056]), -1.5, -5.636363636363637, 3
4, (0, 0.11812702380519632, [0.11812702380519632, -2.148495317063487]), -1.5, -5.515151515151516, 4
5, (0, 0.11760590849894861, [0.11760590849894861, -2.1230108514565167]), -1.5, -5.393939393939394, 5
6, (0, 0.1175421873011709, [0.1175421873011709, -2.1311402760799463]), -1.5, -5.2727272727272725, 6
7, (0, 0.11717368904068046, [0.11717368904068046, -2.1087068373521656]), -1.5, -5.151515151515151, 7
8, (0, 0.16880448297811287, [0.16880448297811287, -2.232499583335794]), -1.5, -5.03030303030303, 8
9, (0, 0.16855075359043148, [0.16855075359043148, -2.236409458280666]), -1.5, -4.909090909090909, 9
10, (0, 0.16809184328883775, [0.16809184328883775, -2.2292979978768406]), -1.5, -4.787878787878788, 10
11, (0, 0.16747697759776994, [0.16747697759776994, -2.203707275473596]), -1.5, -4.666666666666666, 11
12, (0, 0.16711713428149289, [0.16711713428149289, -2.1871234990628095]), -1.5, -4.545454545454545, 12
13, (0, 0.16661861207598763, [0.16661861207598763, -2.1619512989102447]), -1.5, -4.424242424242424, 13
14, (0, 0.16631579469167132, [0.16631579469167132, -2.1580104737346733]), -1.5, -4.303030303030303, 14
15, (0, 0.16580410978175794, [0.16580410978175794, -2.1411979215954684]), -1.5, -4.181818181818182, 15
16, (0, 0.16558350494829482, [0.16558350494829482, -2.1363470373432216]), -1.5, -4.0606060606060606, 16
17, (0, 0.16474505456922425, [0.16474505456922425, -2.1001746173846345]), -1.5, -3.9393939393939394, 17
18, (0, 0.2247550165845752, [0.2247550165845752, -2.2191632195231454]), -1.5, -3.8181818181818183, 18
19, (0, 0.22397544206755363, [0.22397544206755363, -2.1860652216920795]), -1.5, -3.696969696969697, 19
20, (0, 0.2239010828158628, [0.2239010828158628, -2.197152254536669]), -1.5, -3.5757575757575757, 20
21, (0, 0.22301232785107653, [0.22301232785107653, -2.157914036447159]), -1.5, -3.4545454545454546, 21
22, (0, 0.22261534301831504, [0.22261534301831504, -2.1468558821272397]), -1.5, -3.333333333333333, 22
23, (0, 0.22222847511208824, [0.22222847511208824, -2.140304101765268]), -1.5, -3.212121212121212, 23
24, (0, 0.22157105857535617, [0.22157105857535617, -2.099390683939856]), -1.5, -3.090909090909091, 24
25, (0, 0.28944813464188984, [0.28944813464188984, -2.192721095259201]), -1.5, -2.9696969696969697, 25
26, (0, 0.28922140982466804, [0.28922140982466804, -2.1908169594169467]), -1.5, -2.8484848484848486, 26
27, (0, 0.28906779564621843, [0.28906779564621843, -2.1963488381386114]), -1.5, -2.727272727272727, 27
28, (0, 0.2880609888284546, [0.2880609888284546, -2.1480659576471752]), -1.5, -2.606060606060606, 28
29, (0, 0.28748031490793, [0.28748031490793, -2.132246010836747]), -1.5, -2.484848484848485, 29
30, (0, 0.28694663704685125, [0.28694663704685125, -2.114559522686054]), -1.5, -2.3636363636363633, 30
31, (0, 0.2866535080757522, [0.2866535080757522, -2.1079119337554646]), -1.5, -2.242424242424242, 31
32, (0, 0.36259345114354896, [0.36259345114354896, -2.1666859737993622]), -1.5, -2.121212121212121, 32
33, (0, 0.3618192406542545, [0.3618192406542545, -2.146671229347421]), -1.5, -2.0, 33
34, (0, 0.3610070011231162, [0.3610070011231162, -2.107112664558144]), -1.5, -1.878787878787879, 34
35, (0, 0.4462612524514284, [0.4462612524514284, -2.1966632473082193]), -1.5, -1.7575757575757578, 35
36, (0, 0.3604544035698787, [0.3604544035698787, -2.0996760459035215]), -1.5, -1.6363636363636367, 36
37, (0, 0.44449339021742507, [0.44449339021742507, -2.1360254732554056]), -1.5, -1.5151515151515147, 37
38, (0, 0.44462032800192025, [0.44462032800192025, -2.153429146277524]), -1.5, -1.3939393939393936, 38
39, (0, 0.4433291398333546, [0.4433291398333546, -2.104353748516268]), -1.5, -1.2727272727272725, 39
40, (0, 0.5369976682556121, [0.5369976682556121, -2.1806867886813395]), -1.5, -1.1515151515151514, 40
41, (0, 0.5356137390701133, [0.5356137390701133, -2.1254123407967165]), -1.5, -1.0303030303030303, 41
42, (0, 0.6377909735669245, [0.6377909735669245, -2.199233091390343]), -1.5, -0.9090909090909092, 42
43, (0, 0.5346589860440305, [0.5346589860440305, -2.097377712453409]), -1.5, -0.7878787878787881, 43
44, (0, 0.636250015352538, [0.636250015352538, -2.1469176069518374]), -1.5, -0.6666666666666661, 44
45, (0, 0.6355304348730992, [0.6355304348730992, -2.122640083662121]), -1.5, -0.545454545454545, 45
46, (0, 0.7445317273065443, [0.7445317273065443, -2.1237256633015256]), -1.5, -0.42424242424242387, 46
47, (0, 0.7444011917946695, [0.7444011917946695, -2.1209077127123876]), -1.5, -0.30303030303030276, 47
